Ref,Val,Package,PosX,PosY,Rot,Side
"C7","330 μF","CP_Elec_8x10",127.400000,-78.850000,90.000000,bottom
"D2","LED","LED_0805_2012Metric",155.100000,-112.780000,90.000000,bottom
"D3","LED","LED_0805_2012Metric",157.640000,-112.780000,90.000000,bottom
"D4","LED","LED_0805_2012Metric",153.230000,-97.260000,270.000000,bottom
"D5","LED","LED_0805_2012Metric",156.786000,-97.340000,270.000000,bottom
"D6","LED","LED_0805_2012Metric",160.342000,-97.260000,270.000000,bottom
"J7","USB_B_Micro","USB_Micro-B_Molex-105133-0001",128.100000,-65.900000,0.000000,bottom
"SW1","SPST","SW_SPST_B3S-1000",118.750000,-76.675000,270.000000,bottom
